rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,tire_press_lf,tire_press_rf,tire_press_rr_orr,tire_press_lr_olr,tire_press_rr_irr,tire_press_lr_ilr
1541191989142211444,,1568,,1541191989,142036076,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191989647239248,,1569,,1541191989,647100162,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191990141858898,,1570,,1541191990,141757312,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191990642699358,,1571,,1541191990,642575428,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191991142531314,,1572,,1541191991,142440026,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191991642713863,,1573,,1541191991,642576289,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191992142221356,,1574,,1541191992,142126503,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191992642836302,,1575,,1541191992,642688696,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191993142446904,,1576,,1541191993,142303695,'',32.0,29.0,33.0,35.0,255.0,255.0
1541191993642500084,,1577,,1541191993,642405535,'',32.0,29.0,33.0,35.0,255.0,255.0
1541191994142227981,,1578,,1541191994,142102913,'',32.0,29.0,33.0,35.0,255.0,255.0
1541191994642675868,,1579,,1541191994,642501771,'',32.0,29.0,33.0,35.0,255.0,255.0
1541191995141813706,,1580,,1541191995,141723872,'',32.0,29.0,33.0,35.0,255.0,255.0
1541191995642459434,,1581,,1541191995,642278393,'',32.0,29.0,33.0,35.0,255.0,255.0
1541191996142256164,,1582,,1541191996,142128737,'',32.0,29.0,33.0,35.0,255.0,255.0
1541191996643588620,,1583,,1541191996,643446766,'',32.0,29.0,33.0,35.0,255.0,255.0
1541191997142040674,,1584,,1541191997,141890534,'',32.0,29.0,33.0,35.0,255.0,255.0
1541191997643286034,,1585,,1541191997,643170811,'',32.0,29.0,33.0,35.0,255.0,255.0
1541191998142141309,,1586,,1541191998,141933137,'',32.0,29.0,33.0,35.0,255.0,255.0
1541191998645025225,,1587,,1541191998,644904047,'',32.0,29.0,33.0,35.0,255.0,255.0
1541191999142888669,,1588,,1541191999,142747758,'',32.0,29.0,33.0,35.0,255.0,255.0
1541191999643158089,,1589,,1541191999,642977921,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192000142821812,,1590,,1541192000,142736493,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192000644188707,,1591,,1541192000,644088170,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192001142781616,,1592,,1541192001,142635457,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192001644275454,,1593,,1541192001,644125336,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192002143067442,,1594,,1541192002,142953912,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192002644240711,,1595,,1541192002,644094630,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192003142903527,,1596,,1541192003,142823615,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192003642806663,,1597,,1541192003,642647364,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192004142473903,,1598,,1541192004,142335522,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192004642867994,,1599,,1541192004,642698042,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192005142448665,,1600,,1541192005,142258040,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192005642647706,,1601,,1541192005,642513150,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192006142501649,,1602,,1541192006,142341039,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192006642920897,,1603,,1541192006,642735144,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192007142489794,,1604,,1541192007,142385311,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192007643221432,,1605,,1541192007,643088854,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192008142627279,,1606,,1541192008,142419001,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192008644227563,,1607,,1541192008,644098925,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192009142916452,,1608,,1541192009,142657900,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192009642717843,,1609,,1541192009,642587813,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192010142658443,,1610,,1541192010,142542188,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192010643305632,,1611,,1541192010,643049523,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192011142834214,,1612,,1541192011,142690947,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192011642951626,,1613,,1541192011,642740294,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192012142777277,,1614,,1541192012,142646675,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192012644236173,,1615,,1541192012,644123918,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192013142956788,,1616,,1541192013,142752412,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192013643016642,,1617,,1541192013,642890797,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192014143841799,,1618,,1541192014,143747796,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192014644204828,,1619,,1541192014,644026030,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192015143014335,,1620,,1541192015,142895856,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192015644208300,,1621,,1541192015,644002192,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192016144179803,,1622,,1541192016,144014374,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192016644055430,,1623,,1541192016,643925034,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192017144073171,,1624,,1541192017,143843732,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192017644138695,,1625,,1541192017,643978789,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192018143882843,,1626,,1541192018,143775258,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192018645300761,,1627,,1541192018,645106141,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192019143869494,,1628,,1541192019,143733826,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192019645085947,,1629,,1541192019,644923222,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192020143928835,,1630,,1541192020,143803658,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192020645081459,,1631,,1541192020,644941386,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192021143987241,,1632,,1541192021,143769160,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192021644222736,,1633,,1541192021,644043628,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192022144243424,,1634,,1541192022,144074169,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192022644612961,,1635,,1541192022,644442895,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192023143845357,,1636,,1541192023,143716140,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192023644566023,,1637,,1541192023,644346700,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192024143981001,,1638,,1541192024,143840199,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192024644230702,,1639,,1541192024,644081227,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192025144033893,,1640,,1541192025,143816473,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192025645765703,,1641,,1541192025,645655066,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192026143825002,,1642,,1541192026,143673685,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192026644020626,,1643,,1541192026,643843190,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192027143965086,,1644,,1541192027,143794089,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192027643886909,,1645,,1541192027,643686979,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192028143923925,,1646,,1541192028,143766281,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192028644523724,,1647,,1541192028,644375678,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192029143883889,,1648,,1541192029,143713204,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192029643951411,,1649,,1541192029,643803075,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192030143939554,,1650,,1541192030,143785151,'',32.0,29.0,33.0,35.0,255.0,255.0
